destination,source,type,league,variant,format,md5,usage,format_rule,status
design-system/assets/logos/favicon-lat-32.png,assets/vectors/web/favicon-lat-32.png,favicon,lat,default,png,6d67a7cfac52c800dcdf0c9723229ab4,Browser tab icon,Raster fallback,curated
design-system/assets/logos/favicon-lirj-32.png,assets/vectors/web/favicon-lirj-32.png,favicon,lirj,default,png,cd9f71e3c097792af37c7423eb920d38,Browser tab icon,Raster fallback,curated
design-system/assets/logos/favicon-lisp-32.png,assets/vectors/web/favicon-lisp-32.png,favicon,lisp,default,png,1c867068c4ece712a3e7616746c9e465,Browser tab icon,Raster fallback,curated
design-system/assets/logos/favicon-lt-32.png,assets/vectors/web/favicon-lt-32.png,favicon,lt,default,png,df6edce32d859134f77ab892f40f6dee,Browser tab icon,Raster fallback,curated
design-system/assets/logos/logo-official-larb-option-a-ligas-de-tenis.png,assets/leagues/larb/logo-official-larb-option-a-ligas-de-tenis.png,logo,larb,option-a,png,2d1e420ab48d928f9363bf71b0012093,League branding on web and marketing,Raster fallback,curated
design-system/assets/logos/logo-official-larb-option-b-ligas-de-tenis.png,assets/leagues/larb/logo-official-larb-option-b-ligas-de-tenis.png,logo,larb,option-b,png,8ebf17d230449814c14bc85bb80b9139,League branding on web and marketing,Raster fallback,curated
design-system/assets/logos/logo-official-las-default-ligas-de-tenis.png,assets/leagues/las/logo-official-las-default-ligas-de-tenis.png,logo,las,default,png,b24b5eb87e8ef999bf869c8982886633,League branding on web and marketing,Raster fallback,curated
design-system/assets/logos/logo-official-lat-blue-finals-ligas-de-tenis.png,assets/vectors/web/logo-official-lat-blue-finals-ligas-de-tenis.png,logo,lat,blue-finals,png,9fa219dc2b229c098b8458ec66238665,League branding on web and marketing,Raster fallback,curated
design-system/assets/logos/logo-official-lat-blue-finals-ligas-de-tenis.svg,assets/vectors/web/logo-official-lat-blue-finals-ligas-de-tenis.svg,logo,lat,blue-finals,svg,ec544139e65094b035351baaa38ff203,League branding on web and marketing,SVG preferred for web,curated
design-system/assets/logos/logo-official-lat-blue-finals-ligas-de-tenis@2x.png,assets/vectors/web/logo-official-lat-blue-finals-ligas-de-tenis@2x.png,logo,lat,blue-finals,png,69a9823b56d98af421cd7b9b1e401f6f,League branding on web and marketing,PNG @2x fallback,curated
